date,firefox-version,firefox-interop-2026-anchor-positioning,firefox-interop-2026-attr,firefox-interop-2026-container-style-queries,firefox-interop-2026-contrast-color,firefox-interop-2026-custom-highlights,firefox-interop-2026-dialogs-and-popovers,firefox-interop-2026-fetch,firefox-interop-2026-indexeddb,firefox-interop-2026-jspi-for-wasm,firefox-interop-2026-media-pseudo-classes,firefox-interop-2026-navigation,firefox-interop-2026-scoped-custom-element-registries,firefox-interop-2026-scroll-driven-animations,firefox-interop-2026-scroll-snap,firefox-interop-2026-shape,firefox-interop-2026-view-transitions,firefox-interop-2026-webcompat,firefox-interop-2026-webrtc,firefox-interop-2026-webtransport,firefox-interop-2026-zoom,interop-interop-2026-anchor-positioning,interop-interop-2026-attr,interop-interop-2026-container-style-queries,interop-interop-2026-contrast-color,interop-interop-2026-custom-highlights,interop-interop-2026-dialogs-and-popovers,interop-interop-2026-fetch,interop-interop-2026-indexeddb,interop-interop-2026-jspi-for-wasm,interop-interop-2026-media-pseudo-classes,interop-interop-2026-navigation,interop-interop-2026-scoped-custom-element-registries,interop-interop-2026-scroll-driven-animations,interop-interop-2026-scroll-snap,interop-interop-2026-shape,interop-interop-2026-view-transitions,interop-interop-2026-webcompat,interop-interop-2026-webrtc,interop-interop-2026-webtransport,interop-interop-2026-zoom,revision,metadata-revision
2026-01-25T09:23:01,20260125092301,872,710,551,960,713,785,713,41,1000,0,882,16,318,579,880,790,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,882,16,318,579,880,790,844,723,781,1000,85b0ca67efe32790ef7849e6ec32706842b98e5a,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-26T21:39:06,20260126213906,872,710,551,960,713,785,713,41,1000,0,882,16,325,587,880,793,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,882,16,325,587,880,793,844,723,781,1000,fcad94c3a8e858a93e1fc2bc6e405846f526e8a8,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-27T04:08:20,20260127040820,872,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,793,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,793,844,723,781,1000,73fc8b9acb157c9a033dd4d21569d355d9b6eca3,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-27T09:50:52,20260127095052,872,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,793,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,793,844,723,781,1000,e26dd0d93ce6d627c56f0969d9165437fbcda929,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-27T16:31:49,20260127163149,872,710,551,960,713,785,713,41,1000,0,879,16,318,579,964,798,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,879,16,318,579,964,798,844,723,781,1000,bcb6dad83ff3f0859ea505f00c65a9d92306eb05,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-27T21:25:01,20260127212501,872,710,551,960,713,785,713,41,1000,0,879,16,318,587,964,798,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,879,16,318,587,964,798,844,723,781,1000,2d9c8f7550b30af8f17ee134c58106a799546430,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-28T09:48:16,20260128094816,872,710,551,960,713,785,713,41,1000,0,882,16,318,579,964,798,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,882,16,318,579,964,798,844,723,781,1000,08a9de1f821f7bc1616855224f28bd5a0415eac7,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-28T16:31:27,20260128163127,872,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,798,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,798,844,723,781,1000,1be054734a7ce30aa018c8033e3d3ad69d68519d,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-29T21:11:41,20260129211141,872,710,551,960,713,785,713,41,1000,0,879,16,325,579,964,800,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,879,16,325,579,964,800,844,723,781,1000,2799f95c63d12f7ecfe0b0c0128dc6061065f4cf,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-30T09:21:47,20260130092147,872,710,551,960,713,785,713,41,1000,0,879,16,318,579,964,800,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,879,16,318,579,964,800,844,723,781,1000,20b1a1e6c530f3506d5378bf5f4da504b6f03661,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
