date,firefox-version,firefox-interop-2026-anchor-positioning,firefox-interop-2026-attr,firefox-interop-2026-container-style-queries,firefox-interop-2026-contrast-color,firefox-interop-2026-custom-highlights,firefox-interop-2026-dialogs-and-popovers,firefox-interop-2026-fetch,firefox-interop-2026-indexeddb,firefox-interop-2026-jspi-for-wasm,firefox-interop-2026-media-pseudo-classes,firefox-interop-2026-navigation,firefox-interop-2026-scoped-custom-element-registries,firefox-interop-2026-scroll-driven-animations,firefox-interop-2026-scroll-snap,firefox-interop-2026-shape,firefox-interop-2026-view-transitions,firefox-interop-2026-webcompat,firefox-interop-2026-webrtc,firefox-interop-2026-webtransport,firefox-interop-2026-zoom,interop-interop-2026-anchor-positioning,interop-interop-2026-attr,interop-interop-2026-container-style-queries,interop-interop-2026-contrast-color,interop-interop-2026-custom-highlights,interop-interop-2026-dialogs-and-popovers,interop-interop-2026-fetch,interop-interop-2026-indexeddb,interop-interop-2026-jspi-for-wasm,interop-interop-2026-media-pseudo-classes,interop-interop-2026-navigation,interop-interop-2026-scoped-custom-element-registries,interop-interop-2026-scroll-driven-animations,interop-interop-2026-scroll-snap,interop-interop-2026-shape,interop-interop-2026-view-transitions,interop-interop-2026-webcompat,interop-interop-2026-webrtc,interop-interop-2026-webtransport,interop-interop-2026-zoom,revision
2026-02-06T08:45:30,20260206084530,958,710,551,960,713,785,713,41,1000,0,889,16,318,609,964,802,777,723,781,1000,958,710,551,960,713,785,713,41,1000,0,889,16,318,609,964,802,777,723,781,1000,edf80f39888560817c32781317ce95de65470d62
2026-02-06T21:37:44,20260206213744,958,710,551,960,713,785,713,41,1000,0,889,16,325,602,964,802,888,723,781,1000,958,710,551,960,713,785,713,41,1000,0,889,16,325,602,964,802,888,723,781,1000,17c5907449623c60199ec607d9154913b89ad247
2026-02-07T08:59:12,20260207085912,958,804,551,960,713,785,713,41,1000,666,887,16,325,609,964,802,888,723,781,1000,958,804,551,960,713,785,713,41,1000,666,887,16,325,609,964,802,888,723,781,1000,a644f3faa9bac0d2d080b29e82dcb77e8d775e25
2026-02-07T21:14:41,20260207211441,958,804,551,960,713,785,713,41,1000,666,889,16,318,609,964,802,888,723,781,1000,958,804,551,960,713,785,713,41,1000,666,889,16,318,609,964,802,888,723,781,1000,6ad6c4f493c87d3744405b86636b7ddcbb19e8cf
2026-02-08T09:17:40,20260208091740,958,804,551,960,713,960,713,41,1000,666,889,16,325,602,964,802,888,723,781,1000,958,804,551,960,713,960,713,41,1000,666,889,16,325,602,964,802,888,723,781,1000,3aad3ece91a5689e5b47a8dea79e507593a22e98
2026-02-08T20:03:20,20260208200320,958,804,551,960,713,960,713,41,1000,666,889,16,318,609,964,802,888,723,781,1000,958,804,551,960,713,960,713,41,1000,666,889,16,318,609,964,802,888,723,781,1000,af326189e3d9a457f2c2e33971426f654fc1a600
2026-02-09T09:59:05,20260209095905,958,804,551,960,713,960,713,41,1000,666,889,16,325,602,964,802,888,723,781,1000,958,804,551,960,713,960,713,41,1000,666,889,16,325,602,964,802,888,723,781,1000,3cc1872d4d2a1b5008b2d0fd229269ee7c3010a3
2026-02-09T21:08:34,20260209210834,958,804,551,1000,713,960,713,41,1000,666,889,16,325,609,964,802,888,723,781,1000,958,804,551,1000,713,960,713,41,1000,666,889,16,325,609,964,802,888,723,781,1000,cca3a3219008562cf5e7cea7eecc689e98ef39d3
2026-02-10T09:42:34,20260210094234,975,804,551,1000,713,960,713,41,1000,666,889,16,325,609,964,802,888,723,781,1000,975,804,551,1000,713,960,713,41,1000,666,889,16,325,609,964,802,888,723,781,1000,17f7911617c14061fa910c0ed659ae9b146eb270
2026-02-10T21:32:12,20260210213212,975,804,551,1000,723,960,713,41,1000,666,889,16,325,609,964,802,888,723,781,1000,975,804,551,1000,723,960,713,41,1000,666,889,16,325,609,964,802,888,723,781,1000,607240ef4bd8c268d2230d7e76943573c541e2af
2026-02-11T04:11:01,20260211041101,975,804,551,1000,723,960,713,41,1000,666,893,16,325,602,964,802,888,723,781,1000,975,804,551,1000,723,960,713,41,1000,666,893,16,325,602,964,802,888,723,781,1000,66700a891d79fd6ebc6aad5ed90291243a0c2d56
2026-02-11T09:39:27,20260211093927,975,804,551,1000,723,960,713,41,1000,666,894,16,325,609,964,802,888,723,781,1000,975,804,551,1000,723,960,713,41,1000,666,894,16,325,609,964,802,888,723,781,1000,70d698e7fa6aed2dfe9125c1847cc3aaf13772ea
2026-02-11T16:21:25,20260211162125,975,804,551,1000,723,960,713,41,1000,666,893,16,318,602,964,802,888,723,781,1000,975,804,551,1000,723,960,713,41,1000,666,893,16,318,602,964,802,888,723,781,1000,7df40d9149a3d5135ccdcf8602299a76bf7f0081
2026-02-12T09:52:31,20260212095231,975,804,551,1000,723,960,713,41,1000,666,891,16,318,602,964,802,888,723,781,1000,975,804,551,1000,723,960,713,41,1000,666,891,16,318,602,964,802,888,723,781,1000,0aca2c737e84d5bb18e54a84763ce99ef7f82cff
